Time,Trust
4.460000,115.440041
4.470000,115.479195
4.480000,115.519386
4.490000,115.560616
4.500000,115.602905
4.510000,115.646255
4.520000,115.690689
4.530000,115.736206
4.540000,115.782829
4.550000,115.830566
4.560000,115.879433
4.570000,115.929436
4.580000,115.980598
4.590000,116.032921
4.600000,116.086426
4.610000,116.141113
4.620000,116.197014
4.630000,116.254128
4.640000,116.312469
4.650000,116.372047
4.660000,116.432892
4.670000,116.494995
4.680000,116.558388
4.690000,116.623070
4.700000,116.689064
4.710000,116.756378
4.720000,116.825027
4.730000,116.895027
4.740000,116.966385
4.750000,117.039116
4.760000,117.113243
4.770000,117.188774
4.780000,117.265717
4.790000,117.344093
4.800000,117.423920
4.810000,117.505196
4.820000,117.587952
4.830000,117.672195
4.840000,117.757935
4.850000,117.845200
4.860000,117.933990
4.870000,118.024323
4.880000,118.116219
4.890000,118.209686
4.900000,118.304741
4.910000,118.401405
4.920000,118.499687
4.930000,118.599602
4.940000,118.701164
4.950000,118.804390
4.960000,118.909294
4.970000,119.015892
4.980000,119.124199
4.990000,119.234230
5.000000,119.346001
5.010000,119.459526
5.020000,119.574829
5.030000,119.691910
5.040000,119.810799
5.050000,119.931503
5.060000,120.054047
5.070000,120.178436
5.080000,120.304695
5.090000,120.432831
5.100000,120.562874
5.110000,120.694824
5.120000,120.828705
5.130000,120.964539
5.140000,121.102341
5.150000,121.242111
5.160000,121.383888
5.170000,121.527679
5.180000,121.673500
5.190000,121.821365
5.200000,121.971298
5.210000,122.123322
5.220000,122.277435
5.230000,122.433662
5.240000,122.592033
5.250000,122.752548
5.260000,122.915237
5.270000,123.080109
5.280000,123.247185
5.290000,123.416481
5.300000,123.588020
5.310000,123.761818
5.320000,123.937889
5.330000,124.116249
5.340000,124.296928
5.350000,124.479935
5.360000,124.665283
5.370000,124.853004
5.380000,125.043114
5.390000,125.235619
5.400000,125.430550
5.410000,125.627922
5.420000,125.827759
5.430000,126.030067
5.440000,126.234871
5.450000,126.442200
5.460000,126.652061
5.470000,126.864471
5.480000,127.079460
5.490000,127.297043
5.500000,127.517242
5.510000,127.740074
5.520000,127.965553
5.530000,128.193710
5.540000,128.424545
5.550000,128.658112
5.560000,128.894394
5.570000,129.133438
5.580000,129.375244
5.590000,129.619843
5.600000,129.867264
5.610000,130.117508
5.620000,130.370621
5.630000,130.626587
5.640000,130.885468
5.650000,131.147247
5.660000,131.411972
5.670000,131.679642
5.680000,131.950302
5.690000,132.223953
5.700000,132.500626
5.710000,132.780350
5.720000,133.063126
5.730000,133.348984
5.740000,133.637955
5.750000,133.930038
5.760000,134.225281
5.770000,134.523697
5.780000,134.825302
5.790000,135.130127
5.800000,135.438171
5.810000,135.749481
5.820000,136.064087
5.830000,136.381973
5.840000,136.703201
5.850000,137.027771
5.860000,137.355698
5.870000,137.687027
5.880000,138.021774
5.890000,138.359955
5.900000,138.701599
5.910000,139.046722
5.920000,139.395355
5.930000,139.747513
5.940000,140.103226
5.950000,140.462509
5.960000,140.825394
5.970000,141.191910
5.980000,141.562057
5.990000,141.935883
6.000000,142.313400
6.010000,142.694626
6.020000,143.079605
6.030000,143.468338
6.040000,143.860870
6.050000,144.257202
6.060000,144.657379
6.070000,145.061417
6.080000,145.469345
6.090000,145.881165
6.100000,146.296936
6.110000,146.716644
6.120000,147.140350
6.130000,147.568069
6.140000,147.999802
6.150000,148.435608
6.160000,148.875488
6.170000,149.319473
6.180000,149.767593
6.190000,150.219879
6.200000,150.676331
6.210000,151.137009
6.220000,151.601898
6.230000,152.071060
6.240000,152.544510
6.250000,153.022263
6.260000,153.504349
6.270000,153.990784
6.280000,154.481628
6.290000,154.976868
6.300000,155.476562
6.310000,155.980713
6.320000,156.489349
6.330000,157.002502
6.340000,157.520203
6.350000,158.042480
6.360000,158.569351
6.370000,159.100830
6.380000,159.636978
6.390000,160.177795
6.400000,160.723312
6.410000,161.273560
6.420000,161.828552
6.430000,162.388336
6.440000,162.952942
6.450000,163.522369
6.460000,164.096664
6.470000,164.675858
6.480000,165.259964
6.490000,165.849014
